Time,RAM-Usage
07.07.2021 12:45:00,977
07.07.2021 12:50:00,1040
07.07.2021 12:55:00,961
07.07.2021 13:00:00,808
07.07.2021 13:05:00,884
07.07.2021 13:10:00,999
07.07.2021 13:15:00,1007
07.07.2021 13:20:00,974
07.07.2021 13:25:00,1013
07.07.2021 13:30:00,1266
07.07.2021 13:35:00,966
07.07.2021 13:40:00,832
07.07.2021 13:45:00,942
07.07.2021 13:50:00,827
07.07.2021 13:55:00,761
07.07.2021 14:00:00,860
07.07.2021 14:05:00,1024
07.07.2021 14:10:00,1007
07.07.2021 14:15:00,1351
07.07.2021 14:20:00,1065
07.07.2021 14:25:00,827
07.07.2021 14:30:00,999
07.07.2021 14:35:00,843
07.07.2021 14:40:00,748
07.07.2021 14:45:00,952
07.07.2021 14:50:00,862
07.07.2021 14:55:00,873
07.07.2021 15:00:00,734
07.07.2021 15:05:00,911
07.07.2021 15:10:00,939
07.07.2021 15:15:00,933
07.07.2021 15:20:00,895
07.07.2021 15:25:00,857
07.07.2021 15:30:00,1174
07.07.2021 15:35:00,969
07.07.2021 15:40:00,898
07.07.2021 15:45:00,843
07.07.2021 15:50:00,988
07.07.2021 15:55:00,879
07.07.2021 16:00:00,857
07.07.2021 16:05:00,876
07.07.2021 16:10:00,1010
07.07.2021 16:15:00,1024
07.07.2021 16:20:00,944
07.07.2021 16:25:00,906
07.07.2021 16:30:00,1201
07.07.2021 16:35:00,1035
07.07.2021 16:40:00,1018
07.07.2021 16:45:00,999
07.07.2021 16:50:00,942
07.07.2021 16:55:00,991
07.07.2021 17:00:00,950
07.07.2021 17:05:00,983
07.07.2021 17:10:00,999
07.07.2021 17:15:00,1130
07.07.2021 17:20:00,1168
07.07.2021 17:25:00,977
07.07.2021 17:30:00,1450
07.07.2021 17:35:00,1070
07.07.2021 17:40:00,933
07.07.2021 17:45:00,865
07.07.2021 17:50:00,868
07.07.2021 17:55:00,939
07.07.2021 18:00:00,914
07.07.2021 18:05:00,1013
07.07.2021 18:10:00,1032
07.07.2021 18:15:00,1073
07.07.2021 18:20:00,1081
07.07.2021 18:25:00,1004
07.07.2021 18:30:00,1155
07.07.2021 18:35:00,920
07.07.2021 18:40:00,873
07.07.2021 18:45:00,829
07.07.2021 18:50:00,849
07.07.2021 18:55:00,879
07.07.2021 19:00:00,852
07.07.2021 19:05:00,991
07.07.2021 19:10:00,917
07.07.2021 19:15:00,893
07.07.2021 19:20:00,901
07.07.2021 19:25:00,909
07.07.2021 19:30:00,1319
07.07.2021 19:35:00,942
07.07.2021 19:40:00,868
07.07.2021 19:45:00,868
07.07.2021 19:50:00,933
07.07.2021 19:55:00,1065
07.07.2021 20:00:00,865
07.07.2021 20:05:00,901
07.07.2021 20:10:00,860
07.07.2021 20:15:00,862
07.07.2021 20:20:00,969
07.07.2021 20:25:00,1032
07.07.2021 20:30:00,1182
07.07.2021 20:35:00,977
07.07.2021 20:40:00,794
07.07.2021 20:45:00,840
07.07.2021 20:50:00,734
07.07.2021 20:55:00,808
07.07.2021 21:00:00,865
07.07.2021 21:05:00,947
07.07.2021 21:10:00,939
07.07.2021 21:15:00,950
07.07.2021 21:20:00,1029
07.07.2021 21:25:00,922
07.07.2021 21:30:00,1138
07.07.2021 21:35:00,906
07.07.2021 21:40:00,914
07.07.2021 21:45:00,942
07.07.2021 21:50:00,884
07.07.2021 21:55:00,950
07.07.2021 22:00:00,811
07.07.2021 22:05:00,835
07.07.2021 22:10:00,901
07.07.2021 22:15:00,1062
07.07.2021 22:20:00,974
07.07.2021 22:25:00,983
07.07.2021 22:30:00,1302
07.07.2021 22:35:00,1043
07.07.2021 22:40:00,988
